
	43.59   156.10     68.38    35.53   145.36
	43.15   143.65     68.46    36.15   139.93
    42.44   143.66     65.86    36.07   129.61
    41.96   136.99     63.98    36.20   127.65
	41.57   121.35     64.65    36.82   122.57
	41.46   115.82     62.14    36.27   121.72
	40.3    110.52     60.26    34.70   119.27
	42.40   113.54     59.92    34.87   112.57
	42.32   113.05     57.60    37.75   115.36
	43.43   106.10     57.46    35.89   115.66
	43.63   104.21     56.68    34.86   117.65
	45.33   95.60      51.17    32.80   120.34
    44.60   99.86      53.00    31.59   122.06
